Proverb,Translation,Wisdom/Explanation,Specific Themes,General Theme
"Bí a bá sọ̀ kò sí àárín ọjà, ará ilé ẹni ní ḿ bà","If one throws a stone into the marketplace, it hits someone from one’s household",Random acts of wickedness are likely to affect those close to one.,caginess caution moderation patience prudence,Good person
"Bí a bá sọ̀rọ̀ fún olófòófó, ajá dìí agbọ̀n la sọ́ọ̀ sí",Whatever one says to a talebearer one says to a basket that has lost its bottom,Words whispered to a talebearer are in effect broadcast.,caginess caution moderation patience prudence,Good person
"Bí a bá sí ìdí ẹni sókè, ọmọ aráyé á rọ omi gbígbóná síi","If one exposes one’s anus to view, people will fill it with hot water","If one exposes one’s vulnerability to people, one will be done in.",caginess caution moderation patience prudence,Good person
Bí a bá wí a dà bí òwe; bí a ò bá wí a dà bí ìjà,"If one speaks, it sounds like speaking in proverbs; if one does not speak, it seems like picking a fight",In certain delicate situations no option is safe.,caginess caution moderation patience prudence,Good person
"Bí a kò bá láyà àrìndọ̀rìndọ̀, a kìí jẹ aáyán","If one’s stomach is not immune to nausea, one does not eat roaches",One should avoid things one cannot stomach.,caginess caution moderation patience prudence,Good person
"Bí a kò bá lè kú, ì pẹ̀ là ń gbà","If one is unable [or unwilling] to die, one accepts consolation","Unless you want to die of grieving, allow yourself to be consoled.",caginess caution moderation patience prudence,Good person
"Bí a kò bá lè mú ọkọ, a kìí na obìnrin-in rẹ̀","If one is no match for the husband, one does not hit the wife",Never provoke a fight you cannot fight.,caginess caution moderation patience prudence,Good person
"Bí a kò bá ní owó aládìn-ín, à jẹun lójú mọmọ, àgbà lẹ̀ sùn wà rà","If one has no money for lamp oil, one eats in the daytime and sweeps the house and goes to sleep in good time",One’s plans and actions should fit one’s resources.,caginess caution moderation patience prudence,Good person
"Bí a kò bá ní èsè ẹfà, a kìí kó iṣu òje","If one does not have 1,200 cowries in savings, one does not purchase yams worth 1,400 cowries",One’s aspirations should match one’s means.,caginess caution moderation patience prudence,Good person
Bí a kò bá rí wọlé-wọ́de a ò gbọdọ̀ wọlé ọba,"If one cannot find the official gatekeeper, one dares not enter the king’s palace",Always ask leave before venturing into another person’s domain.,caginess caution moderation patience prudence,Good person
"Bí a kò bá rí gún, à fà kàlà ṣe bọ","If one cannot find a vulture, one sacrifices a hornbill",One makes do with what one has.,caginess caution moderation patience prudence,Good person
"Bí a kò bá ṣe fún ilẹ̀, a kìí fì ọwọ́ sọ́ọ̀","If one has done nothing for Earth, one does not swear by it",One cannot expect sustenance where one has not cultivated.,caginess caution moderation patience prudence,Good person
"Bí a kò rówó ra ẹrú, à sọ adìẹ ẹni lórúkọ","If one has no money to buy a slave, one gives one’s chicken a name",One should somehow make do with what one has and be content.,caginess caution moderation patience prudence,Good person
Bí a ó ti ṣe é ní ń fì ara-arẹ̀ hàn,How it will be accomplished will reveal itself,The way to accomplish a task will always reveal itself.,caginess caution moderation patience prudence,Good person
"Bí a á ṣẹ́ bá ti ń fò, bẹ́dẹ̀ la ti ń sọ̀ kò síi",It is according to the flight pattern of the standard-winged nightjar that one throws stones at it,One responds according to the situation one is confronted with.,caginess caution moderation patience prudence,Good person
Bí adìẹ̀ bá gbẹ́ lẹ̀ aya ò pì pì,"If a chicken always keeps to the ground, it becomes flightless","Whatever endowment one has, one loses it if one neglects it.",caginess caution moderation patience prudence,Good person
"Bí àjànàkú ò bá gbẹ́ kẹ̀ lé fùrọ̀, kìí mí òdù àgbọn","If an elephant is not sure of its anus, it does not swallow whole coconuts","Unless one can cope with the consequences, one does not engage in an action.",caginess caution moderation patience prudence,Good person
"Bí àjẹ̀ bá mu po, ojú-urẹ̀ a rọ̀","Once a witch has drunk oil, she calms down","After one has achieved one’s goal, one should relax.",caginess caution moderation patience prudence,Good person
"Bí alágbára-á bá jẹ́ọ̀ ní yà, fẹ́ rín síi","If a powerful person mistreats you, burst into laughter",Never protest against victimization by one against whom you can do nothing.,caginess caution moderation patience prudence,Good person
"Bí alágẹmọ-ọ́ bá fẹ́ẹ̀ kọjá, ìjà ḿ pere ò ní-í jà","When the chameleon wishes to go by, the black ants refrain from stinging",The cautious person is immune to the dangers that beset others.,caginess caution moderation patience prudence,Good person
"Bí alẹ̀ bá lẹ̀, adẹ́tẹ̀ arìn, ayan","When night falls, the leper walks and struts",Night is a welcome cloak for blemishes.,caginess caution moderation patience prudence,Good person
"Bí àṣá bá ḿ bínú, sùúrù ló yẹ ọlọ́jà","If the kite is displaying anger, the best response for the trader is patience",One must learn forbearance in the face of provocation.,caginess caution moderation patience prudence,Good person
Bí awó ti ń lù la wó ti ń jó,"As the initiate of mysteries drums, so the initiate of mysteries dances",One’s actions are best suited to the circumstances.,caginess caution moderation patience prudence,Good person
"Bí bàtá bá ró àró jù, yí ya ní","If the bàtá drum sounds too loud, it tears",Excess leads to disaster.,caginess caution moderation patience prudence,Good person
"Bí ekò ló bá kọ ebè, ara-arẹ̀ ni yó gbìn síi","If a worm makes a heap, it is itself that it will plant in it",The consequences of a person’s actions will fall on that person’s own head.,caginess caution moderation patience prudence,Good person
Bí èṣù ikú bá ń ṣe ìgbín nígbín ń yẹ̀ yin,It is when the snail wants to invite death that it lays eggs,A person who knows an action will be disastrous but carries it out anyway deserves what he gets.,caginess caution moderation patience prudence,Good person
"Bí ẹjá bá sùn, ẹjá á fì ẹja jẹ","If fish sleep, fish will devour fish","If one does not wish to be taken advantage of, one must be ever watchful.",caginess caution moderation patience prudence,Good person
"Bí ẹlẹ́ jọ́ bá mọ ẹjọ́-ọ rẹ̀ lẹ́ bi, kìí pẹ́ ní kùn ún lẹ̀",The person involved in a case who acknowledges guilt does not last long on his or her knees,Penitence invites leniency.,caginess caution moderation patience prudence,Good person
"Bí ẹni kán bá fo jú di Orò, Orò a gbè é","If anyone defies the Orò mystery, it does away with him or her",Whoever disdains potential dangers eventually pays for the disdain.,caginess caution moderation patience prudence,Good person
"Bí ẹnìkán ṣe ohun tí ẹnìkan ò ṣe rí, ojú-urẹ̀ á rí ohun tí ẹnìkan ò rí rí","If a person does what no one has ever done before, his eyes will see what no one has ever seen before",Those who do unusual things should expect unusual consequences.,caginess caution moderation patience prudence,Good person
"Bí ìdí ìkòkò bá dá a lójú, kìí gbẹ́ egungun mí","If the wolf does not have faith in its anus, it does not swallow bones",One should not attempt a thing whose repercussions one cannot withstand.,caginess caution moderation patience prudence,Good person
Bí ìfà bí ìfà lọmọdé fì ń dáràn wọlé,"As though he were stumbling on treasures, thus a youth brings trouble into the house-hold",A youth seldom realizes what actions will involve his household in trouble.,caginess caution moderation patience prudence,Good person
"Bí ilé bá dá, adẹ́tẹ̀ arìn, ayan","When the house is deserted, the leper will walk and strut","When one is unobserved, one does as one pleases.",caginess caution moderation patience prudence,Good person
"Bí ìlù ú bá dùn à dùn jù, yó fà ya","If a drum makes too much noise, it breaks",Disaster follows excess.,caginess caution moderation patience prudence,Good person
"Bí iṣu ẹní bá funfun, à fọwọ́ bò ó jẹ","If one’s yam is white, one eats it furtively",It would be unwise to flaunt good fortune.,caginess caution moderation patience prudence,Good person
Bí kò bá sí oní ṣẹ́ iṣẹ́ ò le è lọ; bí kò bá sí ọlọ́wẹ̀ a kìí ṣọ̀wẹ̀; à kẹ̀ hìn sí ọlọ́wẹ̀ là ń ṣí pá,"If the owner of the job is absent, the job does not progress; if the person who engaged the help is absent, no help is given; when the back of the person who engaged help is turned, one lifts one’s hands from the job",The employee is most industrious under the supervision of the employer.,caginess caution moderation patience prudence,Good person
"Bí omá ara ilá ra ilá, bí omá agba ènì gba ènì; ọmọdé kìí wá sọ́jà Agbó-mẹ́kùn kó wá mú eku","If you wish to buy okro, buy okro; if you wish to receive a gratuity, do so; a child does not come to a tiger hunt and catch rats",One’s deeds should be appropriate to the location.,caginess caution moderation patience prudence,Good person
"Bí obìnrin bá wọ igbó Orò, a ò lè rí àbọ̀-ọ ẹmọ́","If a woman enters the ritual grove of the Orò cult, no one will ever see her return",Any person who engages in forbidden action courts destruction.,caginess caution moderation patience prudence,Good person
"Bí ògbó ẹni ò bá dá ni lójú, a kìí fì gbá rí wò","If one does not trust one’s cudgel, one does not try it on one’s own head",One should not swear by something about which one is not certain.,caginess caution moderation patience prudence,Good person
"Bí ojú alákẹdun ò dá igi, kìí gùn ún","If the monkey is not certain about a tree, it does not climb it",One should not embark on projects one cannot accomplish.,caginess caution moderation patience prudence,Good person
"Bí ojú oní só ò bá sunwọ̀n, a kìí lọ́ọ̀","If the face of the person who farted is baleful, one does not make a big fuss about the fart",Do not incite a person who is spoiling for a fight.,caginess caution moderation patience prudence,Good person
"Bí ológbò-ó bá pa eku, a fì ìrù-urẹ̀ dẹ lé","When a cat kills a mouse, it uses the tail as a sentry",One should save something of one’s fortune for the future.,caginess caution moderation patience prudence,Good person
"Bí ológbò-ó bá ṣẹ̀ ń pa ẹmọ́, à mọ̀ pé ó máa lọ","When a cat begins to kill guinea pigs, one knows it is ready to go",A person who embarks on improper behavior invites ostracism.,caginess caution moderation patience prudence,Good person
